seed,converged,num_goals,num_agents,agent_types,use_ep,greedy,num_iters
0,False,40,2,['B' 'A'],True,True,299
0,False,40,2,['B' 'A'],True,False,299
0,False,40,2,['B' 'A'],False,False,299
0,False,45,2,['A' 'A'],True,True,299
0,False,45,2,['A' 'A'],True,False,299
0,False,45,2,['A' 'A'],False,False,299
0,False,50,2,['A' 'A'],True,True,299
0,False,50,2,['A' 'A'],True,False,299
0,False,50,2,['A' 'A'],False,False,299
0,False,55,2,['B' 'B'],True,True,299
0,False,55,2,['B' 'B'],True,False,299
0,False,55,2,['B' 'B'],False,False,299
0,False,40,3,['B' 'A' 'B'],True,True,299
0,False,40,3,['B' 'A' 'B'],True,False,299
0,False,40,3,['B' 'A' 'B'],False,False,299
0,True,45,3,['A' 'B' 'A'],True,True,229
0,False,45,3,['A' 'B' 'A'],True,False,299
0,False,45,3,['A' 'B' 'A'],False,False,299
0,False,50,3,['A' 'A' 'A'],True,True,299
0,True,50,3,['A' 'A' 'A'],True,False,290
0,True,50,3,['A' 'A' 'A'],False,False,290
0,True,55,3,['A' 'A' 'A'],True,True,213
0,True,55,3,['A' 'A' 'A'],True,False,284
0,True,55,3,['A' 'A' 'A'],False,False,284
0,False,40,4,['B' 'A' 'A' 'A'],True,True,299
0,True,40,4,['B' 'A' 'A' 'A'],True,False,228
0,True,40,4,['B' 'A' 'A' 'A'],False,False,228
0,True,45,4,['A' 'B' 'A' 'A'],True,True,151
0,True,45,4,['A' 'B' 'A' 'A'],True,False,218
0,True,45,4,['A' 'B' 'A' 'A'],False,False,221
0,True,50,4,['A' 'B' 'A' 'B'],True,True,233
0,True,50,4,['A' 'B' 'A' 'B'],True,False,275
0,True,50,4,['A' 'B' 'A' 'B'],False,False,281
0,True,55,4,['B' 'A' 'B' 'A'],True,True,204
0,True,55,4,['B' 'A' 'B' 'A'],True,False,281
0,True,55,4,['B' 'A' 'B' 'A'],False,False,263
0,True,40,5,['B' 'A' 'B' 'A' 'B'],True,True,207
0,True,40,5,['B' 'A' 'B' 'A' 'B'],True,False,251
0,False,40,5,['B' 'A' 'B' 'A' 'B'],False,False,299
0,True,45,5,['B' 'A' 'B' 'A' 'A'],True,True,193
0,True,45,5,['B' 'A' 'B' 'A' 'A'],True,False,201
0,True,45,5,['B' 'A' 'B' 'A' 'A'],False,False,183
0,True,50,5,['A' 'A' 'A' 'B' 'B'],True,True,168
0,True,50,5,['A' 'A' 'A' 'B' 'B'],True,False,215
0,True,50,5,['A' 'A' 'A' 'B' 'B'],False,False,238
0,True,55,5,['A' 'B' 'A' 'B' 'B'],True,True,204
0,False,55,5,['A' 'B' 'A' 'B' 'B'],True,False,299
0,False,55,5,['A' 'B' 'A' 'B' 'B'],False,False,299
1,False,40,2,['A' 'A'],True,True,299
1,False,40,2,['A' 'A'],True,False,299
1,False,40,2,['A' 'A'],False,False,299
1,False,45,2,['A' 'A'],True,True,299
1,False,45,2,['A' 'A'],True,False,299
1,False,45,2,['A' 'A'],False,False,299
1,False,50,2,['B' 'B'],True,True,299
1,False,50,2,['B' 'B'],True,False,299
1,False,50,2,['B' 'B'],False,False,299
1,False,55,2,['B' 'A'],True,True,299
1,False,55,2,['B' 'A'],True,False,299
1,False,55,2,['B' 'A'],False,False,299
1,True,40,3,['A' 'A' 'B'],True,True,199
1,True,40,3,['A' 'A' 'B'],True,False,257
1,True,40,3,['A' 'A' 'B'],False,False,256
1,False,45,3,['B' 'B' 'A'],True,True,299
1,True,45,3,['B' 'B' 'A'],True,False,292
1,False,45,3,['B' 'B' 'A'],False,False,299
1,True,50,3,['A' 'B' 'B'],True,True,238
1,False,50,3,['A' 'B' 'B'],True,False,299
1,False,50,3,['A' 'B' 'B'],False,False,299
1,False,55,3,['B' 'B' 'A'],True,True,299
1,False,55,3,['B' 'B' 'A'],True,False,299
1,False,55,3,['B' 'B' 'A'],False,False,299
1,True,40,4,['A' 'B' 'B' 'A'],True,True,141
1,True,40,4,['A' 'B' 'B' 'A'],True,False,236
1,True,40,4,['A' 'B' 'B' 'A'],False,False,260
1,True,45,4,['B' 'B' 'B' 'A'],True,True,298
1,True,45,4,['B' 'B' 'B' 'A'],True,False,239
1,True,45,4,['B' 'B' 'B' 'A'],False,False,231
1,True,50,4,['B' 'B' 'B' 'A'],True,True,265
1,False,50,4,['B' 'B' 'B' 'A'],True,False,299
