seed,converged,num_goals,num_agents,agent_types,use_ep,greedy,num_iters,reasoning_level
0,True,20,2,['B' 'A'],True,True,67,0
0,True,20,2,['B' 'A'],True,False,73,2
0,True,20,2,['B' 'A'],False,False,75,1
0,True,25,2,['A' 'A'],True,True,126,0
0,True,25,2,['A' 'A'],True,False,103,2
0,True,25,2,['A' 'A'],False,False,104,1
0,True,30,2,['B' 'A'],True,True,124,0
0,True,30,2,['B' 'A'],True,False,100,2
0,True,30,2,['B' 'A'],False,False,101,1
0,True,35,2,['B' 'B'],True,True,124,0
0,True,35,2,['B' 'B'],True,False,116,2
0,True,35,2,['B' 'B'],False,False,111,1
0,True,40,2,['B' 'A'],True,True,133,0
0,True,40,2,['B' 'A'],True,False,116,2
0,True,40,2,['B' 'A'],False,False,105,1
0,True,20,3,['A' 'A' 'B'],True,True,94,0
0,True,20,3,['A' 'A' 'B'],True,False,64,2
0,True,20,3,['A' 'A' 'B'],False,False,61,1
0,True,25,3,['B' 'A' 'B'],True,True,124,0
0,True,25,3,['B' 'A' 'B'],True,False,74,2
0,True,25,3,['B' 'A' 'B'],False,False,62,1
0,True,30,3,['B' 'A' 'B'],True,True,120,0
0,True,30,3,['B' 'A' 'B'],True,False,86,2
0,True,30,3,['B' 'A' 'B'],False,False,82,1
0,True,35,3,['B' 'B' 'A'],True,True,122,0
0,True,35,3,['B' 'B' 'A'],True,False,92,2
0,True,35,3,['B' 'B' 'A'],False,False,94,1
0,True,40,3,['B' 'A' 'B'],True,True,128,0
0,True,40,3,['B' 'A' 'B'],True,False,83,2
0,True,40,3,['B' 'A' 'B'],False,False,77,1
0,True,20,4,['A' 'B' 'B' 'A'],True,True,53,0
0,True,20,4,['A' 'B' 'B' 'A'],True,False,60,2
0,True,20,4,['A' 'B' 'B' 'A'],False,False,64,1
0,True,25,4,['B' 'B' 'B' 'B'],True,True,123,0
0,True,25,4,['B' 'B' 'B' 'B'],True,False,65,2
0,True,25,4,['B' 'B' 'B' 'B'],False,False,63,1
0,True,30,4,['B' 'B' 'A' 'A'],True,True,121,0
0,True,30,4,['B' 'B' 'A' 'A'],True,False,64,2
0,True,30,4,['B' 'B' 'A' 'A'],False,False,64,1
0,True,35,4,['A' 'A' 'B' 'A'],True,True,122,0
0,True,35,4,['A' 'A' 'B' 'A'],True,False,70,2
0,True,35,4,['A' 'A' 'B' 'A'],False,False,65,1
0,True,40,4,['B' 'A' 'A' 'A'],True,True,127,0
0,True,40,4,['B' 'A' 'A' 'A'],True,False,64,2
0,True,40,4,['B' 'A' 'A' 'A'],False,False,66,1
0,True,20,5,['B' 'A' 'A' 'B' 'A'],True,True,47,0
0,True,20,5,['B' 'A' 'A' 'B' 'A'],True,False,50,2
0,True,20,5,['B' 'A' 'A' 'B' 'A'],False,False,67,1
0,True,25,5,['B' 'B' 'A' 'B' 'B'],True,True,122,0
0,True,25,5,['B' 'B' 'A' 'B' 'B'],True,False,50,2
0,True,25,5,['B' 'B' 'A' 'B' 'B'],False,False,82,1
0,True,30,5,['B' 'B' 'A' 'B' 'A'],True,True,120,0
0,True,30,5,['B' 'B' 'A' 'B' 'A'],True,False,54,2
0,True,30,5,['B' 'B' 'A' 'B' 'A'],False,False,80,1
0,True,35,5,['B' 'B' 'A' 'A' 'B'],True,True,121,0
0,True,35,5,['B' 'B' 'A' 'A' 'B'],True,False,63,2
0,True,35,5,['B' 'B' 'A' 'A' 'B'],False,False,85,1
0,True,40,5,['B' 'A' 'B' 'A' 'B'],True,True,106,0
0,True,40,5,['B' 'A' 'B' 'A' 'B'],True,False,66,2
0,True,40,5,['B' 'A' 'B' 'A' 'B'],False,False,67,1
0,True,20,6,['A' 'A' 'A' 'B' 'B' 'A'],True,True,52,0
0,True,20,6,['A' 'A' 'A' 'B' 'B' 'A'],True,False,43,2
0,True,20,6,['A' 'A' 'A' 'B' 'B' 'A'],False,False,44,1
0,True,25,6,['B' 'A' 'A' 'B' 'A' 'A'],True,True,121,0
0,True,25,6,['B' 'A' 'A' 'B' 'A' 'A'],True,False,34,2
0,True,25,6,['B' 'A' 'A' 'B' 'A' 'A'],False,False,41,1
0,True,30,6,['A' 'A' 'B' 'A' 'B' 'B'],True,True,117,0
0,True,30,6,['A' 'A' 'B' 'A' 'B' 'B'],True,False,43,2
0,True,30,6,['A' 'A' 'B' 'A' 'B' 'B'],False,False,56,1
0,True,35,6,['B' 'A' 'B' 'A' 'B' 'A'],True,True,84,0
0,True,35,6,['B' 'A' 'B' 'A' 'B' 'A'],True,False,47,2
0,True,35,6,['B' 'A' 'B' 'A' 'B' 'A'],False,False,48,1
0,True,40,6,['B' 'A' 'A' 'A' 'A' 'A'],True,True,84,0
0,True,40,6,['B' 'A' 'A' 'A' 'A' 'A'],True,False,48,2
0,True,40,6,['B' 'A' 'A' 'A' 'A' 'A'],False,False,49,1
0,True,20,7,['A' 'A' 'A' 'A' 'B' 'A' 'B'],True,True,56,0
0,True,20,7,['A' 'A' 'A' 'A' 'B' 'A' 'B'],True,False,36,2
0,True,20,7,['A' 'A' 'A' 'A' 'B' 'A' 'B'],False,False,35,1
0,True,25,7,['B' 'A' 'B' 'B' 'B' 'B' 'A'],True,True,125,0
0,True,25,7,['B' 'A' 'B' 'B' 'B' 'B' 'A'],True,False,51,2
