seed,converged,num_goals,num_agents,agent_types,use_ep,greedy,num_iters
0,True,20,2,['B' 'A'],True,True,136
0,False,20,2,['B' 'A'],True,False,149
0,False,20,2,['B' 'A'],False,False,149
0,False,25,2,['B' 'A'],True,True,149
0,True,25,2,['B' 'A'],True,False,148
0,True,25,2,['B' 'A'],False,False,148
0,False,30,2,['B' 'B'],True,True,149
0,False,30,2,['B' 'B'],True,False,149
0,False,30,2,['B' 'B'],False,False,149
0,False,35,2,['B' 'B'],True,True,149
0,False,35,2,['B' 'B'],True,False,149
0,False,35,2,['B' 'B'],False,False,149
0,True,20,3,['A' 'A' 'B'],True,True,128
0,True,20,3,['A' 'A' 'B'],True,False,88
0,True,20,3,['A' 'A' 'B'],False,False,88
0,True,25,3,['A' 'A' 'A'],True,True,129
0,True,25,3,['A' 'A' 'A'],True,False,96
0,True,25,3,['A' 'A' 'A'],False,False,96
0,True,30,3,['B' 'A' 'A'],True,True,111
0,True,30,3,['B' 'A' 'A'],True,False,133
0,False,30,3,['B' 'A' 'A'],False,False,149
0,False,35,3,['A' 'B' 'A'],True,True,149
0,True,35,3,['A' 'B' 'A'],True,False,133
0,True,35,3,['A' 'B' 'A'],False,False,141
0,True,20,4,['A' 'B' 'B' 'A'],True,True,62
0,True,20,4,['A' 'B' 'B' 'A'],True,False,68
0,True,20,4,['A' 'B' 'B' 'A'],False,False,110
0,True,25,4,['B' 'A' 'B' 'A'],True,True,80
0,True,25,4,['B' 'A' 'B' 'A'],True,False,99
0,True,25,4,['B' 'A' 'B' 'A'],False,False,117
0,True,30,4,['A' 'A' 'A' 'A'],True,True,82
0,True,30,4,['A' 'A' 'A' 'A'],True,False,80
0,True,30,4,['A' 'A' 'A' 'A'],False,False,80
0,True,35,4,['B' 'B' 'A' 'B'],True,True,142
0,True,35,4,['B' 'B' 'A' 'B'],True,False,124
0,True,35,4,['B' 'B' 'A' 'B'],False,False,127
0,True,20,5,['B' 'A' 'A' 'B' 'A'],True,True,62
0,True,20,5,['B' 'A' 'A' 'B' 'A'],True,False,61
0,True,20,5,['B' 'A' 'A' 'B' 'A'],False,False,62
0,True,25,5,['B' 'B' 'B' 'B' 'B'],True,True,53
0,True,25,5,['B' 'B' 'B' 'B' 'B'],True,False,123
0,False,25,5,['B' 'B' 'B' 'B' 'B'],False,False,149
0,True,30,5,['B' 'B' 'A' 'A' 'B'],True,True,80
0,True,30,5,['B' 'B' 'A' 'A' 'B'],True,False,107
0,True,30,5,['B' 'B' 'A' 'A' 'B'],False,False,106
0,True,35,5,['A' 'A' 'B' 'A' 'B'],True,True,142
0,True,35,5,['A' 'A' 'B' 'A' 'B'],True,False,101
0,True,35,5,['A' 'A' 'B' 'A' 'B'],False,False,130
1,True,20,2,['A' 'B'],True,True,82
1,True,20,2,['A' 'B'],True,False,124
1,True,20,2,['A' 'B'],False,False,124
1,True,25,2,['B' 'B'],True,True,105
1,True,25,2,['B' 'B'],True,False,142
1,True,25,2,['B' 'B'],False,False,130
1,True,30,2,['A' 'B'],True,True,118
1,False,30,2,['A' 'B'],True,False,149
1,False,30,2,['A' 'B'],False,False,149
1,False,35,2,['A' 'B'],True,True,149
1,True,35,2,['A' 'B'],True,False,136
1,True,35,2,['A' 'B'],False,False,136
1,True,20,3,['B' 'B' 'B'],True,True,77
1,True,20,3,['B' 'B' 'B'],True,False,94
1,True,20,3,['B' 'B' 'B'],False,False,110
1,True,25,3,['B' 'B' 'B'],True,True,108
1,True,25,3,['B' 'B' 'B'],True,False,124
1,True,25,3,['B' 'B' 'B'],False,False,94
1,True,30,3,['A' 'B' 'A'],True,True,87
1,True,30,3,['A' 'B' 'A'],True,False,107
1,True,30,3,['A' 'B' 'A'],False,False,107
1,False,35,3,['A' 'B' 'A'],True,True,149
1,True,35,3,['A' 'B' 'A'],True,False,92
1,True,35,3,['A' 'B' 'A'],False,False,93
1,True,20,4,['B' 'B' 'A' 'B'],True,True,44
1,True,20,4,['B' 'B' 'A' 'B'],True,False,66
1,True,20,4,['B' 'B' 'A' 'B'],False,False,60
1,True,25,4,['A' 'A' 'A' 'A'],True,True,57
1,True,25,4,['A' 'A' 'A' 'A'],True,False,68
1,True,25,4,['A' 'A' 'A' 'A'],False,False,68
1,True,30,4,['A' 'B' 'B' 'B'],True,True,87
1,True,30,4,['A' 'B' 'B' 'B'],True,False,68
1,True,30,4,['A' 'B' 'B' 'B'],False,False,130
1,False,35,4,['A' 'A' 'B' 'A'],True,True,149
1,True,35,4,['A' 'A' 'B' 'A'],True,False,74
1,True,35,4,['A' 'A' 'B' 'A'],False,False,74
1,True,20,5,['B' 'B' 'B' 'A' 'A'],True,True,43
1,True,20,5,['B' 'B' 'B' 'A' 'A'],True,False,80
1,True,20,5,['B' 'B' 'B' 'A' 'A'],False,False,58
1,True,25,5,['A' 'B' 'B' 'B' 'B'],True,True,37
1,True,25,5,['A' 'B' 'B' 'B' 'B'],True,False,117
1,False,25,5,['A' 'B' 'B' 'B' 'B'],False,False,149
1,True,30,5,['B' 'B' 'A' 'B' 'A'],True,True,54
1,True,30,5,['B' 'B' 'A' 'B' 'A'],True,False,86
1,True,30,5,['B' 'B' 'A' 'B' 'A'],False,False,103
1,True,35,5,['B' 'A' 'B' 'B' 'B'],True,True,106
1,True,35,5,['B' 'A' 'B' 'B' 'B'],True,False,116
1,False,35,5,['B' 'A' 'B' 'B' 'B'],False,False,149
2,True,20,2,['A' 'A'],True,True,145
2,True,20,2,['A' 'A'],True,False,110
2,True,20,2,['A' 'A'],False,False,110
2,True,25,2,['B' 'A'],True,True,76
2,True,25,2,['B' 'A'],True,False,123
2,True,25,2,['B' 'A'],False,False,123
2,False,30,2,['A' 'B'],True,True,149
2,True,30,2,['A' 'B'],True,False,140
2,True,30,2,['A' 'B'],False,False,140
2,True,35,2,['B' 'B'],True,True,128
2,False,35,2,['B' 'B'],True,False,149
2,False,35,2,['B' 'B'],False,False,149
2,True,20,3,['A' 'A' 'A'],True,True,113
2,True,20,3,['A' 'A' 'A'],True,False,57
2,True,20,3,['A' 'A' 'A'],False,False,57
2,True,25,3,['B' 'B' 'A'],True,True,70
2,True,25,3,['B' 'B' 'A'],True,False,83
2,True,25,3,['B' 'B' 'A'],False,False,83
2,True,30,3,['B' 'B' 'B'],True,True,91
2,False,30,3,['B' 'B' 'B'],True,False,149
2,True,30,3,['B' 'B' 'B'],False,False,137
2,True,35,3,['A' 'B' 'B'],True,True,100
2,True,35,3,['A' 'B' 'B'],True,False,103
2,True,35,3,['A' 'B' 'B'],False,False,108
2,True,20,4,['A' 'B' 'A' 'A'],True,True,67
2,True,20,4,['A' 'B' 'A' 'A'],True,False,55
2,True,20,4,['A' 'B' 'A' 'A'],False,False,55
2,True,25,4,['A' 'B' 'A' 'B'],True,True,70
2,True,25,4,['A' 'B' 'A' 'B'],True,False,67
2,True,25,4,['A' 'B' 'A' 'B'],False,False,101
2,True,30,4,['A' 'A' 'A' 'B'],True,True,70
2,True,30,4,['A' 'A' 'A' 'B'],True,False,84
2,True,30,4,['A' 'A' 'A' 'B'],False,False,67
2,True,35,4,['A' 'B' 'B' 'A'],True,True,100
2,True,35,4,['A' 'B' 'B' 'A'],True,False,85
2,True,35,4,['A' 'B' 'B' 'A'],False,False,85
2,True,20,5,['A' 'B' 'A' 'A' 'B'],True,True,67
2,True,20,5,['A' 'B' 'A' 'A' 'B'],True,False,52
2,True,20,5,['A' 'B' 'A' 'A' 'B'],False,False,44
2,True,25,5,['A' 'B' 'A' 'A' 'A'],True,True,52
2,True,25,5,['A' 'B' 'A' 'A' 'A'],True,False,57
2,True,25,5,['A' 'B' 'A' 'A' 'A'],False,False,57
2,True,30,5,['B' 'B' 'B' 'A' 'B'],True,True,70
2,True,30,5,['B' 'B' 'B' 'A' 'B'],True,False,84
2,True,30,5,['B' 'B' 'B' 'A' 'B'],False,False,100
2,True,35,5,['A' 'A' 'A' 'B' 'A'],True,True,66
2,True,35,5,['A' 'A' 'A' 'B' 'A'],True,False,57
2,True,35,5,['A' 'A' 'A' 'B' 'A'],False,False,57
3,True,20,2,['A' 'B'],True,True,123
3,True,20,2,['A' 'B'],True,False,111
3,True,20,2,['A' 'B'],False,False,114
3,False,25,2,['A' 'A'],True,True,149
3,True,25,2,['A' 'A'],True,False,135
3,False,25,2,['A' 'A'],False,False,149
3,False,30,2,['B' 'A'],True,True,149
3,False,30,2,['B' 'A'],True,False,149
3,True,30,2,['B' 'A'],False,False,139
3,False,35,2,['B' 'A'],True,True,149
3,False,35,2,['B' 'A'],True,False,149
3,False,35,2,['B' 'A'],False,False,149
3,True,20,3,['A' 'A' 'A'],True,True,72
