seed,converged,num_goals,num_agents,agent_types,use_ep,num_iters
0,True,3,2,['A' 'B'],True,16
0,True,4,2,['A' 'B'],True,16
0,True,5,2,['B' 'A'],True,12
0,True,3,3,['A' 'B' 'B'],True,32
0,True,4,3,['B' 'A' 'B'],True,50
0,True,5,3,['B' 'A' 'B'],True,53
0,True,3,4,['B' 'A' 'B' 'A'],True,33
0,True,4,4,['B' 'A' 'B' 'B'],True,46
0,True,5,4,['A' 'B' 'B' 'A'],True,25
0,False,3,5,['B' 'A' 'B' 'B' 'A'],True,99
0,True,4,5,['A' 'B' 'B' 'A' 'A'],True,54
0,True,5,5,['A' 'B' 'A' 'B' 'B'],True,29
0,True,3,2,['A' 'B'],False,20
0,True,4,2,['A' 'B'],False,16
0,True,5,2,['B' 'A'],False,12
0,False,3,3,['A' 'B' 'B'],False,99
0,True,4,3,['B' 'A' 'B'],False,37
0,True,5,3,['B' 'A' 'B'],False,49
0,False,3,4,['B' 'A' 'B' 'A'],False,99
0,True,4,4,['B' 'A' 'B' 'B'],False,53
0,False,5,4,['A' 'B' 'B' 'A'],False,99
0,False,3,5,['B' 'A' 'B' 'B' 'A'],False,99
0,True,4,5,['A' 'B' 'B' 'A' 'A'],False,93
0,True,5,5,['A' 'B' 'A' 'B' 'B'],False,67
1,True,3,2,['A' 'B'],True,25
1,True,4,2,['B' 'A'],True,8
1,True,5,2,['B' 'A'],True,13
1,True,3,3,['B' 'A' 'A'],True,15
1,True,4,3,['B' 'A' 'A'],True,13
1,False,5,3,['B' 'B' 'B'],True,99
1,True,3,4,['B' 'A' 'A' 'A'],True,15
1,False,4,4,['B' 'B' 'B' 'B'],True,99
1,True,5,4,['B' 'A' 'A' 'A'],True,20
1,False,3,5,['B' 'B' 'B' 'B' 'B'],True,99
1,True,4,5,['B' 'A' 'A' 'A' 'B'],True,18
1,False,5,5,['B' 'B' 'B' 'B' 'B'],True,99
1,True,3,2,['A' 'B'],False,16
1,True,4,2,['B' 'A'],False,8
1,True,5,2,['B' 'A'],False,13
1,True,3,3,['B' 'A' 'A'],False,17
1,True,4,3,['B' 'A' 'A'],False,14
1,True,5,3,['B' 'B' 'B'],False,32
1,True,3,4,['B' 'A' 'A' 'A'],False,17
1,False,4,4,['B' 'B' 'B' 'B'],False,99
1,True,5,4,['B' 'A' 'A' 'A'],False,20
1,False,3,5,['B' 'B' 'B' 'B' 'B'],False,99
1,False,4,5,['B' 'A' 'A' 'A' 'B'],False,99
1,False,5,5,['B' 'B' 'B' 'B' 'B'],False,99
