seed,converged,num_goals,num_agents,agent_types,use_ep,greedy,num_iters,reasoning_level
0,True,20,2,['B' 'A'],True,True,33,0
0,True,20,2,['B' 'A'],True,False,35,2
0,True,20,2,['B' 'A'],False,False,35,1
0,True,25,2,['A' 'A'],True,True,61,0
0,True,25,2,['A' 'A'],True,False,58,2
0,True,25,2,['A' 'A'],False,False,58,1
0,True,30,2,['B' 'A'],True,True,47,0
0,True,30,2,['B' 'A'],True,False,53,2
0,True,30,2,['B' 'A'],False,False,53,1
0,True,35,2,['B' 'B'],True,True,81,0
0,True,35,2,['B' 'B'],True,False,47,2
0,True,35,2,['B' 'B'],False,False,50,1
0,True,40,2,['B' 'A'],True,True,37,0
0,True,40,2,['B' 'A'],True,False,60,2
0,True,40,2,['B' 'A'],False,False,59,1
0,True,20,3,['A' 'A' 'B'],True,True,53,0
0,True,20,3,['A' 'A' 'B'],True,False,63,2
0,True,20,3,['A' 'A' 'B'],False,False,60,1
0,True,25,3,['B' 'A' 'B'],True,True,123,0
0,True,25,3,['B' 'A' 'B'],True,False,67,2
0,True,25,3,['B' 'A' 'B'],False,False,67,1
0,True,30,3,['B' 'A' 'B'],True,True,121,0
0,True,30,3,['B' 'A' 'B'],True,False,83,2
0,True,30,3,['B' 'A' 'B'],False,False,70,1
0,True,35,3,['B' 'B' 'A'],True,True,122,0
0,True,35,3,['B' 'B' 'A'],True,False,82,2
0,True,35,3,['B' 'B' 'A'],False,False,82,1
0,True,40,3,['B' 'A' 'B'],True,True,125,0
0,True,40,3,['B' 'A' 'B'],True,False,98,2
0,True,40,3,['B' 'A' 'B'],False,False,109,1
0,True,20,4,['A' 'B' 'B' 'A'],True,True,85,0
0,True,20,4,['A' 'B' 'B' 'A'],True,False,92,2
0,True,20,4,['A' 'B' 'B' 'A'],False,False,78,1
0,False,25,4,['B' 'B' 'B' 'B'],True,True,149,0
0,True,25,4,['B' 'B' 'B' 'B'],True,False,90,2
0,False,25,4,['B' 'B' 'B' 'B'],False,False,149,1
0,False,30,4,['B' 'B' 'A' 'A'],True,True,149,0
0,True,30,4,['B' 'B' 'A' 'A'],True,False,89,2
0,True,30,4,['B' 'B' 'A' 'A'],False,False,93,1
0,False,35,4,['A' 'A' 'B' 'A'],True,True,149,0
0,True,35,4,['A' 'A' 'B' 'A'],True,False,83,2
0,True,35,4,['A' 'A' 'B' 'A'],False,False,87,1
0,True,40,4,['B' 'A' 'A' 'A'],True,True,141,0
0,True,40,4,['B' 'A' 'A' 'A'],True,False,83,2
0,True,40,4,['B' 'A' 'A' 'A'],False,False,81,1
0,True,20,5,['B' 'A' 'A' 'B' 'A'],True,True,108,0
0,True,20,5,['B' 'A' 'A' 'B' 'A'],True,False,86,2
0,True,20,5,['B' 'A' 'A' 'B' 'A'],False,False,83,1
0,False,25,5,['B' 'B' 'A' 'B' 'B'],True,True,149,0
0,True,25,5,['B' 'B' 'A' 'B' 'B'],True,False,117,2
0,False,25,5,['B' 'B' 'A' 'B' 'B'],False,False,149,1
0,False,30,5,['B' 'B' 'A' 'B' 'A'],True,True,149,0
0,False,30,5,['B' 'B' 'A' 'B' 'A'],True,False,149,2
0,False,30,5,['B' 'B' 'A' 'B' 'A'],False,False,149,1
0,False,35,5,['B' 'B' 'A' 'A' 'B'],True,True,149,0
0,True,35,5,['B' 'B' 'A' 'A' 'B'],True,False,112,2
0,True,35,5,['B' 'B' 'A' 'A' 'B'],False,False,129,1
0,False,40,5,['B' 'A' 'B' 'A' 'B'],True,True,149,0
0,True,40,5,['B' 'A' 'B' 'A' 'B'],True,False,111,2
0,True,40,5,['B' 'A' 'B' 'A' 'B'],False,False,120,1
0,True,20,6,['A' 'A' 'A' 'B' 'B' 'A'],True,True,125,0
0,True,20,6,['A' 'A' 'A' 'B' 'B' 'A'],True,False,107,2
0,True,20,6,['A' 'A' 'A' 'B' 'B' 'A'],False,False,115,1
0,False,25,6,['B' 'A' 'A' 'B' 'A' 'A'],True,True,149,0
0,True,25,6,['B' 'A' 'A' 'B' 'A' 'A'],True,False,104,2
0,True,25,6,['B' 'A' 'A' 'B' 'A' 'A'],False,False,128,1
0,False,30,6,['A' 'A' 'B' 'A' 'B' 'B'],True,True,149,0
0,True,30,6,['A' 'A' 'B' 'A' 'B' 'B'],True,False,149,2
0,True,30,6,['A' 'A' 'B' 'A' 'B' 'B'],False,False,127,1
0,False,35,6,['B' 'A' 'B' 'A' 'B' 'A'],True,True,149,0
0,True,35,6,['B' 'A' 'B' 'A' 'B' 'A'],True,False,142,2
0,False,35,6,['B' 'A' 'B' 'A' 'B' 'A'],False,False,149,1
0,False,40,6,['B' 'A' 'A' 'A' 'A' 'A'],True,True,149,0
0,True,40,6,['B' 'A' 'A' 'A' 'A' 'A'],True,False,117,2
0,True,40,6,['B' 'A' 'A' 'A' 'A' 'A'],False,False,124,1
0,True,20,7,['A' 'A' 'A' 'A' 'B' 'A' 'B'],True,True,147,0
0,True,20,7,['A' 'A' 'A' 'A' 'B' 'A' 'B'],True,False,146,2
0,True,20,7,['A' 'A' 'A' 'A' 'B' 'A' 'B'],False,False,129,1
0,False,25,7,['B' 'A' 'B' 'B' 'B' 'B' 'A'],True,True,149,0
0,False,25,7,['B' 'A' 'B' 'B' 'B' 'B' 'A'],True,False,149,2
0,True,25,7,['B' 'A' 'B' 'B' 'B' 'B' 'A'],False,False,143,1
0,False,30,7,['B' 'B' 'A' 'A' 'B' 'A' 'B'],True,True,149,0
0,False,30,7,['B' 'B' 'A' 'A' 'B' 'A' 'B'],True,False,149,2
0,False,30,7,['B' 'B' 'A' 'A' 'B' 'A' 'B'],False,False,149,1
0,False,35,7,['B' 'A' 'B' 'A' 'B' 'A' 'A'],True,True,149,0
0,False,35,7,['B' 'A' 'B' 'A' 'B' 'A' 'A'],True,False,149,2
0,False,35,7,['B' 'A' 'B' 'A' 'B' 'A' 'A'],False,False,149,1
0,False,40,7,['A' 'A' 'B' 'A' 'A' 'B' 'A'],True,True,149,0
0,False,40,7,['A' 'A' 'B' 'A' 'A' 'B' 'A'],True,False,149,2
0,False,40,7,['A' 'A' 'B' 'A' 'A' 'B' 'A'],False,False,149,1
0,False,20,8,['B' 'A' 'B' 'A' 'B' 'B' 'B' 'B'],True,True,149,0
0,False,20,8,['B' 'A' 'B' 'A' 'B' 'B' 'B' 'B'],True,False,149,2
0,False,20,8,['B' 'A' 'B' 'A' 'B' 'B' 'B' 'B'],False,False,149,1
0,False,25,8,['B' 'B' 'A' 'A' 'A' 'B' 'A' 'B'],True,True,149,0
0,False,25,8,['B' 'B' 'A' 'A' 'A' 'B' 'A' 'B'],True,False,149,2
0,False,25,8,['B' 'B' 'A' 'A' 'A' 'B' 'A' 'B'],False,False,149,1
0,False,30,8,['B' 'A' 'B' 'A' 'B' 'A' 'B' 'A'],True,True,149,0
